날짜,홈팀,원정팀,홈팀점수,원정팀점수
2024-06-19,한화,키움,14,11
2024-06-19,KIA,LG,5,7
2024-06-19,삼성,SSG,13,2
2024-06-19,두산,NC,5,7
2024-06-19,KT,롯데,5,13
